legacy_import,disposition,v2_replacement_or_action
buildcraft.api.BCModules,MIGRATE,ModuleService / BuildCraftModules
buildcraft.api.IBuildCraftMod,MIGRATE,NetworkService / PayloadType
buildcraft.api.blocks.CustomPaintHelper,MIGRATE,RotationHandler / PaintHandler / BlockInteractionService
buildcraft.api.blocks.CustomRotationHelper,MIGRATE,RotationHandler / PaintHandler / BlockInteractionService
buildcraft.api.blocks.ICustomPaintHandler,MIGRATE,RotationHandler / PaintHandler / BlockInteractionService
buildcraft.api.blocks.ICustomRotationHandler,MIGRATE,RotationHandler / PaintHandler / BlockInteractionService
buildcraft.api.boards.IRedstoneBoard,MIGRATE,RobotBoardType + persistent board data
buildcraft.api.boards.RedstoneBoardNBT,MIGRATE,RobotBoardType + persistent board data
buildcraft.api.boards.RedstoneBoardRegistry,MIGRATE,RobotBoardType + persistent board data
buildcraft.api.boards.RedstoneBoardRobot,MIGRATE,RobotBoardType + persistent board data
buildcraft.api.boards.RedstoneBoardRobotNBT,MIGRATE,RobotBoardType + persistent board data
buildcraft.api.capabilities.BCCapabilityRegistration,INTERNALIZE,loader platform bridge
buildcraft.api.capabilities.IBCCapabilityProvider,INTERNALIZE,loader platform bridge
buildcraft.api.core.BCDebugging,INTERNALIZE,DebugService / internal debug flags
buildcraft.api.core.BCLog,INTERNALIZE,addon-owned logger; ApiDiagnostics for structured diagnostics
buildcraft.api.core.BlockIndex,INTERNALIZE,BlockPos + BlockState/registry id
buildcraft.api.core.BuildCraftAPI,MIGRATE,WorldPropertyService / WorldRuleService / ActorService
buildcraft.api.core.EnumHandlerPriority,MIGRATE,RegistrationContext / definition priority
buildcraft.api.core.EnumPipePart,INTERNALIZE,Direction / pipe implementation geometry
buildcraft.api.core.IAreaProvider,MIGRATE,AreaProvider
buildcraft.api.core.IBox,MIGRATE,BlockBox
buildcraft.api.core.IConvertable,MIGRATE,ExtensionContext / ContextKey
buildcraft.api.core.IEngineType,MIGRATE,EngineType
